catalogNumber,createdBy,placeName,flagNotes,createdOn,associatedMedia,locationLat,locationLon,fromDate,rank,scientificName,commonName,higherClassificationId,state,observedInMonth
16839357,Elavarasan M,"Marungoor, தமிழ்நாடு 621719",,30/09/2021,/80f73613-4180-41c5-b8e6-a6159b2d2de7/5f8a8c99a05b441f84ea21fea1ff6633.jpg,11.3230383,79.2433528,08/08/2017,species,Tirumala limniace (Cramer 1775),Blue Tiger:English,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Arthropoda#rank:phylum#taxonID:874 | name:Insecta#rank:class#taxonID:876 | name:Lepidoptera#rank:order#taxonID:70513 | name:Papilionoidea#rank:superfamily#taxonID:276610 | name:Nymphalidae#rank:family#taxonID:70967 | name:Tirumala#rank:genus#taxonID:71479 | name:Tirumala limniace (Cramer 1775)#rank:species#taxonID:188744,TAMILNADU,August
16839346,Elavarasan M,"Marungoor, தமிழ்நாடு 621719",,30/09/2021,/a9c64447-da89-4fe1-81a7-01987a0c7e08/032a53c7a50441f7b126de6e16c35ece.JPG,11.3230383,79.2433528,08/08/2017,species,Hypolimnas misippus Linnaeus 1764,Danaid eggfly:English,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Arthropoda#rank:phylum#taxonID:874 | name:Insecta#rank:class#taxonID:876 | name:Lepidoptera#rank:order#taxonID:70513 | name:Papilionoidea#rank:superfamily#taxonID:276610 | name:Nymphalidae#rank:family#taxonID:70967 | name:Hypolimnas#rank:genus#taxonID:71533 | name:Hypolimnas misippus Linnaeus 1764#rank:species#taxonID:71538,TAMILNADU,August
16839333,Elavarasan M,"Marungoor, தமிழ்நாடு 621719",,30/09/2021,/573723ec-2eb5-4446-a897-1578a3bd1648/17fe8aef5cf94acab423a2b3060ac5a7.JPG,11.3230383,79.2433528,01/06/2017,species,Colotis danae (Fabricius 1775),Crimson Tip:English,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Arthropoda#rank:phylum#taxonID:874 | name:Insecta#rank:class#taxonID:876 | name:Lepidoptera#rank:order#taxonID:70513 | name:Papilionoidea#rank:superfamily#taxonID:276610 | name:Pieridae#rank:family#taxonID:71754 | name:Colotis#rank:genus#taxonID:71844 | name:Colotis danae (Fabricius 1775)#rank:species#taxonID:71852,TAMILNADU,June
16839312,Rajat Patel,"P29Q+C8 Tejlav, Gujarat, India",,30/09/2021,/3626eacf-f9de-4d39-9ac6-e5a5087ddde6/7492308ecb284fe09ae382f03ea231ac.jpg,20.7186,73.0383,09/11/2020,species,Eurema hecabe (Linnaeus 1758),Common Grass Yellow:English,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Arthropoda#rank:phylum#taxonID:874 | name:Insecta#rank:class#taxonID:876 | name:Lepidoptera#rank:order#taxonID:70513 | name:Papilionoidea#rank:superfamily#taxonID:276610 | name:Pieridae#rank:family#taxonID:71754 | name:Eurema#rank:genus#taxonID:160666 | name:Eurema hecabe (Linnaeus 1758)#rank:species#taxonID:160677,,November
16839301,Elavarasan M,"Marungoor, தமிழ்நாடு 621719",,30/09/2021,/c7a83e20-d506-4c0e-af32-aa03597772dc/b3b8f4fa7f8940689cfa3b91b07551e1.JPG,11.3230383,79.2433528,02/05/2017,species,Danaus chrysippus Linnaeus 1758,Plain Tiger:English,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Arthropoda#rank:phylum#taxonID:874 | name:Insecta#rank:class#taxonID:876 | name:Lepidoptera#rank:order#taxonID:70513 | name:Papilionoidea#rank:superfamily#taxonID:276610 | name:Nymphalidae#rank:family#taxonID:70967 | name:Danaus#rank:genus#taxonID:160500 | name:Anosia#rank:subgenus#taxonID:279925 | name:Danaus chrysippus Linnaeus 1758#rank:species#taxonID:160505,TAMILNADU,May
16839269,Sumit Joshi,"Uttaranchal Colony, Kichha, Uttarakhand 263148",,30/09/2021,/7864302e-8833-4663-9ebb-746c4f13e8c2/564d53e5ff74456fa8625c19d02e6652.JPG,28.9154729,79.513269,31/08/2021,species,Junonia almana Linnaeus 1758,Peacock Pansy:English,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Arthropoda#rank:phylum#taxonID:874 | name:Insecta#rank:class#taxonID:876 | name:Lepidoptera#rank:order#taxonID:70513 | name:Papilionoidea#rank:superfamily#taxonID:276610 | name:Nymphalidae#rank:family#taxonID:70967 | name:Junonia#rank:genus#taxonID:160298 | name:Junonia almana Linnaeus 1758#rank:species#taxonID:160309,,September
16839258,Elavarasan M,"Marungoor, தமிழ்நாடு 621719",,30/09/2021,/10252e1c-6559-4cba-ae0f-df275b62a9b7/78dc361f34cb475ebf8bd17f90f2484f.jpg,11.3230383,79.2433528,28/12/2017,species,Curetis thetis (Drury (1773)),Indian Sunbeam:English,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Arthropoda#rank:phylum#taxonID:874 | name:Insecta#rank:class#taxonID:876 | name:Lepidoptera#rank:order#taxonID:70513 | name:Papilionoidea#rank:superfamily#taxonID:276610 | name:Lycaenidae#rank:family#taxonID:71910 | name:Curetis#rank:genus#taxonID:72121 | name:Curetis thetis (Drury (1773))#rank:species#taxonID:429216,TAMILNADU,December
16839247,Elavarasan M,"Marungoor, தமிழ்நாடு 621719",,30/09/2021,/ba9ce6bc-b479-4d2c-aa00-74ac5ae5f353/097706dea87347219afb28018280bfda.JPG,11.3230383,79.2433528,12/01/2018,species,Lampides boeticus (Linnaeus 1767),Pea Blue:English,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Arthropoda#rank:phylum#taxonID:874 | name:Insecta#rank:class#taxonID:876 | name:Lepidoptera#rank:order#taxonID:70513 | name:Papilionoidea#rank:superfamily#taxonID:276610 | name:Lycaenidae#rank:family#taxonID:71910 | name:Lampides#rank:genus#taxonID:71979 | name:Lampides boeticus (Linnaeus 1767)#rank:species#taxonID:71990,TAMILNADU,January
16839227,Rajat Patel,"P29Q+C8 Tejlav, Gujarat, India",,30/09/2021,/829fa787-1031-4fd6-97eb-e367cab59a12/15a5e768bb10493f871c278b185fd639.jpg,20.7186,73.0383,09/11/2020,species,Eurema hecabe (Linnaeus 1758),Common Grass Yellow:English,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Arthropoda#rank:phylum#taxonID:874 | name:Insecta#rank:class#taxonID:876 | name:Lepidoptera#rank:order#taxonID:70513 | name:Papilionoidea#rank:superfamily#taxonID:276610 | name:Pieridae#rank:family#taxonID:71754 | name:Eurema#rank:genus#taxonID:160666 | name:Eurema hecabe (Linnaeus 1758)#rank:species#taxonID:160677,,November
16839216,Elavarasan M,"Marungoor, தமிழ்நாடு 621719",,30/09/2021,/378868db-b0d3-46f1-b18d-e1aa1678198a/4f7bf674cfd545ecab031bbc45c262f5.jpg,11.3230383,79.2433528,26/12/2017,species,Papilio crino Fabricius 1792,Common Banded Peacock:English,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Arthropoda#rank:phylum#taxonID:874 | name:Insecta#rank:class#taxonID:876 | name:Lepidoptera#rank:order#taxonID:70513 | name:Papilionoidea#rank:superfamily#taxonID:276610 | name:Papilionidae#rank:family#taxonID:72216 | name:Papilio#rank:genus#taxonID:72270 | name:Papilio crino Fabricius 1792#rank:species#taxonID:72311,TAMILNADU,December
