"catalogNumber","createdBy","placeName","flagNotes","noOfIdentifications","geoPrivacy","createdOn","associatedMedia","group_id","dateAccuracy","isLocked","locationLat","locationLon","locationScale","fromDate","toDate","rank","scientificName","commonName","kingdom","phylum","class","order","superfamily","family","genus","species","basisOfRecord","reverseGeocodedName","state","tahsil","district","Sex","Life Stage","Abundance","Activity","Phenology State","Life Stage (Complete Metamorphosis)","toDate","observedInMonth"
"17702581"," Leeladhar suman","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001, India",,"1","false","10/09/2022","/ee3795cc-b503-47e8-adfb-367f0459400a/4143aefd4b624de58b4d293fab83aab8.JPG","Arthropods","ACCURATE","false","25.0972448","76.0015076","APPROXIMATE","09/09/2022","09/09/2022","species","Hasora chromus Cramer 1780","Common Banded Awl:English","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperioidea","Hesperiidae","Hasora",,"HUMAN_OBSERVATION","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001, India","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-09T18:30:00.000Z","September"
"17702570"," Leeladhar suman","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001, India",,"1","false","10/09/2022","/e5bbe6c1-72c4-445d-a58d-56c588926bea/e86011cab60044d38418aff26bf5c5f5.JPG","Arthropods","ACCURATE","false","25.0972448","76.0015076","APPROXIMATE","09/09/2022","09/09/2022","species","Euchrysops cnejus (Fabricius 1798)","Gram Blue:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Lycaenidae","Euchrysops",,"HUMAN_OBSERVATION","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001, India","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-09T18:30:00.000Z","September"
"17702561"," Leeladhar suman","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001, India",,"1","false","10/09/2022","/d5b0dca9-0063-46ed-adf2-48da1faa4254/c1ff6c69a5184795b7b7a7a718ce6161.JPG","Arthropods","ACCURATE","false","25.0972448","76.0015076","APPROXIMATE","09/09/2022","09/09/2022","species","Euchrysops cnejus (Fabricius 1798)","Gram Blue:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Lycaenidae","Euchrysops",,"HUMAN_OBSERVATION","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001, India","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-09T18:30:00.000Z","September"
"17702434"," Leeladhar suman","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001, India",,"1","false","10/09/2022","/996d8f24-a49e-417d-82ef-379384f0ec25/71028e0c279c48eb8fb9c1feb8d5afc0.JPG","Arthropods","ACCURATE","false","25.0972448","76.0015076","APPROXIMATE","08/09/2022","08/09/2022","species","Ariadne merione Cramer 1779","Common Castor:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Nymphalidae","Ariadne",,"HUMAN_OBSERVATION","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001, India","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-08T18:30:00.000Z","September"
"17702425"," Leeladhar suman","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001, India",,"1","false","10/09/2022","/89a960a0-00a5-4d09-b08c-8dd3e5d0ebfc/79607c7c4e0141afb35bce137b35dbf1.JPG","Arthropods","ACCURATE","false","25.0972448","76.0015076","APPROXIMATE","08/09/2022","08/09/2022","species","Ariadne merione Cramer 1779","Common Castor:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Nymphalidae","Ariadne",,"HUMAN_OBSERVATION","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001, India","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-08T18:30:00.000Z","September"
"17702416"," Leeladhar suman","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001, India",,"1","false","10/09/2022","/a1c29ed4-a30c-4caa-b932-34c8dedbc7a4/f7afa281b3c747bcaf99b96c9aeb7380.JPG","Arthropods","ACCURATE","false","25.0972448","76.0015076","APPROXIMATE","08/09/2022","08/09/2022","species","Ariadne merione Cramer 1779","Common Castor:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Nymphalidae","Ariadne",,"HUMAN_OBSERVATION","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001, India","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-08T18:30:00.000Z","September"
"17702153"," Leeladhar suman","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001",,"1","false","10/09/2022","/b8119cb4-ebab-40b4-877d-b396bee3cd58/c624ddd680634337b049de94c5dc7915.JPG","Arthropods","ACCURATE","false","25.0972448","76.0015076","APPROXIMATE","09/09/2022","09/09/2022","species","Junonia hierta Fabricius 1798","Yellow Pansy:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Nymphalidae","Junonia",,"HUMAN_OBSERVATION","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-09T18:30:00.000Z","September"
"17702140"," Leeladhar suman","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001",,"1","false","10/09/2022","/b7ab85d8-1ee9-457c-8345-f7bdaba53a27/4760928c59044d0a87a5a57ebb567bbe.JPG","Arthropods","ACCURATE","false","25.0972448","76.0015076","APPROXIMATE","09/09/2022","09/09/2022","species","Junonia hierta Fabricius 1798","Yellow Pansy:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Nymphalidae","Junonia",,"HUMAN_OBSERVATION","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-09T18:30:00.000Z","September"
"17702130"," Leeladhar suman","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001",,"1","false","10/09/2022","/e548d6e7-be14-494a-a3e8-c45993014553/fdbf10d16ff14c24a5e7199fd5758814.JPG","Arthropods","ACCURATE","false","25.0972448","76.0015076","APPROXIMATE","09/09/2022","09/09/2022","species","Pelopidas mathias Fabricius 1798","Small Branded Swift:English","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperioidea","Hesperiidae","Pelopidas",,"HUMAN_OBSERVATION","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-09T18:30:00.000Z","September"
"17702118"," Leeladhar suman","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001",,"1","false","10/09/2022","/55f1a0e9-08aa-4772-aa69-50b14c103278/c7b6388bccf9485ea3aa7e64783f4540.JPG","Arthropods","ACCURATE","false","25.0972448","76.0015076","APPROXIMATE","09/09/2022","09/09/2022","species","Junonia lemonias Linnaeus 1758","Lemon pansy:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Nymphalidae","Junonia",,"HUMAN_OBSERVATION","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-09T18:30:00.000Z","September"
"17702103"," Leeladhar suman","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001",,"1","false","10/09/2022","/2ce67e30-3d07-42d0-9727-b6183b6c9b48/93aa44dbf160477ba9ea48ebbdab8d36.JPG","Arthropods","ACCURATE","false","25.0972448","76.0015076","APPROXIMATE","09/09/2022","09/09/2022","species","Pelopidas mathias Fabricius 1798","Small Branded Swift:English","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperioidea","Hesperiidae","Pelopidas",,"HUMAN_OBSERVATION","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-09T18:30:00.000Z","September"
"17702094"," Leeladhar suman","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001",,"1","false","10/09/2022","/cd375253-2bd3-470e-b1f3-76e372619486/ddbb15425ae646c9b167b0262705e895.JPG","Arthropods","ACCURATE","false","25.0972448","76.0015076","APPROXIMATE","09/09/2022","09/09/2022","species","Junonia almana Linnaeus 1758","Peacock Pansy:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Nymphalidae","Junonia",,"HUMAN_OBSERVATION","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-09T18:30:00.000Z","September"
"17702084"," Leeladhar suman","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001",,"1","false","10/09/2022","/d210d231-b2dc-47ae-bcb8-076e16ebe55b/9658bfceb7fa4d309ed12168c6549c9d.JPG","Arthropods","ACCURATE","false","25.0972448","76.0015076","APPROXIMATE","09/09/2022","09/09/2022","species","Eurema brigitta (Stoll (1780))","Small Grass Yellow:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Pieridae","Eurema",,"HUMAN_OBSERVATION","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-09T18:30:00.000Z","September"
"17702074"," Leeladhar suman","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001",,"4","false","10/09/2022","/396dae09-e2b6-4cba-9eb1-d7b18d425fa4/41dcdc4cb5af4c7ea64531ff81ab92e4.JPG","Arthropods","ACCURATE","false","25.0972448","76.0015076","APPROXIMATE","09/09/2022","09/09/2022","species","Hypolimnas misippus Linnaeus 1764","Danaid eggfly:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Nymphalidae","Hypolimnas",,"HUMAN_OBSERVATION","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-09T18:30:00.000Z","September"
"17702064"," Leeladhar suman","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001",,"4","false","10/09/2022","/27eea319-3d1f-4649-9b13-a1f0d8a0fb91/a78d958ff22447278cc78097e58ef996.JPG","Arthropods","ACCURATE","false","25.0972448","76.0015076","APPROXIMATE","09/09/2022","09/09/2022","species","Hypolimnas misippus Linnaeus 1764","Danaid eggfly:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Nymphalidae","Hypolimnas",,"HUMAN_OBSERVATION","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001","RAJASTHAN","Ladpura","KOTA","Female",,,,,,"2022-09-09T18:30:00.000Z","September"
"17702052"," Leeladhar suman","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001",,"1","false","10/09/2022","/c8a2ac99-3fcb-41e6-a0c6-c0cb566281b1/a46b35f021ca4f51a899fbbaa871aaab.JPG","Arthropods","ACCURATE","false","25.0972448","76.0015076","APPROXIMATE","09/09/2022","09/09/2022","species","Danaus chrysippus Linnaeus 1758","Plain Tiger:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Nymphalidae","Danaus",,"HUMAN_OBSERVATION","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-09T18:30:00.000Z","September"
"17702041"," Leeladhar suman","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001",,"1","false","10/09/2022","/baf5777a-aabf-4f83-93cc-49b832245119/6897b19e81b24aef82851bf6ebb1afe9.JPG","Arthropods","ACCURATE","false","25.0972448","76.0015076","APPROXIMATE","09/09/2022","09/09/2022","species","Danaus genutia Cramer 1779","Striped Tiger:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Nymphalidae","Danaus",,"HUMAN_OBSERVATION","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-09T18:30:00.000Z","September"
"17702031"," Leeladhar suman","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001",,"1","false","10/09/2022","/f0e05b10-12ac-48f6-b488-1c70bc6e1f41/3257d625dd4e45f68837b88e905a19bd.JPG","Arthropods","ACCURATE","false","25.0972448","76.0015076","APPROXIMATE","09/09/2022","09/09/2022","species","Danaus genutia Cramer 1779","Striped Tiger:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Nymphalidae","Danaus",,"HUMAN_OBSERVATION","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-09T18:30:00.000Z","September"
"17702020"," Leeladhar suman","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001",,"1","false","10/09/2022","/ef744dc8-fc30-45cd-93b5-ed87a2184018/50838ef2a11d47659a0b233e58926ebc.JPG","Arthropods","ACCURATE","false","25.0972448","76.0015076","APPROXIMATE","09/09/2022","09/09/2022","species","Danaus genutia Cramer 1779","Striped Tiger:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Nymphalidae","Danaus",,"HUMAN_OBSERVATION","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-09T18:30:00.000Z","September"
"17702008"," Leeladhar suman","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001",,"1","false","10/09/2022","/c6fa18d1-1346-4000-a5e8-8a34e6429dce/a072eea852044b1fb6cd193468433957.JPG","Arthropods","ACCURATE","false","25.0972448","76.0015076","APPROXIMATE","09/09/2022","09/09/2022","species","Eurema brigitta (Stoll (1780))","Small Grass Yellow:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Pieridae","Eurema",,"HUMAN_OBSERVATION","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-09T18:30:00.000Z","September"
"17701996"," Leeladhar suman","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001",,"1","false","10/09/2022","/074740c0-44a8-433e-9c94-cc09b7db1cb7/749fbe22cace4d3cbf1ae74f11c04bd8.JPG","Arthropods","ACCURATE","false","25.0972448","76.0015076","APPROXIMATE","09/09/2022","09/09/2022","species","Eurema brigitta (Stoll (1780))","Small Grass Yellow:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Pieridae","Eurema",,"HUMAN_OBSERVATION","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-09T18:30:00.000Z","September"
"17701985"," Leeladhar suman","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001",,"1","false","10/09/2022","/05ef784a-c9f6-427d-b43b-cb5c0b8b3847/166e3f21fe3747a5a232b89ec8240b7d.JPG","Arthropods","ACCURATE","false","25.0972448","76.0015076","APPROXIMATE","09/09/2022","09/09/2022","species","Junonia lemonias Linnaeus 1758","Lemon pansy:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Nymphalidae","Junonia",,"HUMAN_OBSERVATION","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-09T18:30:00.000Z","September"
"17701976"," Leeladhar suman","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001",,"1","false","10/09/2022","/2af05e51-6c92-4f89-9153-54740c9cead6/ef2d2486ecb447979c4d0b0c7c1a57d2.JPG","Arthropods","ACCURATE","false","25.0972448","76.0015076","APPROXIMATE","09/09/2022","09/09/2022","species","Catopsilia pyranthe (Linnaeus 1758)","Mottled Emigrant:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Pieridae","Catopsilia",,"HUMAN_OBSERVATION","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-09T18:30:00.000Z","September"
"17701851"," Leeladhar suman","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001",,"1","false","10/09/2022","/394ffd45-e707-438f-a612-58042b497d5d/bae3cfd01432403ab34d7c99a3ca0d75.JPG","Arthropods","ACCURATE","false","25.0972448","76.0015076","APPROXIMATE","08/09/2022","08/09/2022","species","Eurema brigitta (Stoll (1780))","Small Grass Yellow:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Pieridae","Eurema",,"HUMAN_OBSERVATION","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-08T18:30:00.000Z","September"
"17701837"," Leeladhar suman","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001",,"1","false","10/09/2022","/845bc50d-d8c1-4db7-abb1-1d1a3a323d41/d666dda8f3e24dea95bb500e0cbef2d7.JPG","Arthropods","ACCURATE","false","25.0972448","76.0015076","APPROXIMATE","08/09/2022","08/09/2022","species","Euchrysops cnejus (Fabricius 1798)","Gram Blue:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Lycaenidae","Euchrysops",,"HUMAN_OBSERVATION","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-08T18:30:00.000Z","September"
"17701825"," Leeladhar suman","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001",,"1","false","10/09/2022","/da0807ed-1a7c-4356-b8e1-776a47bc4f7d/b7ed1e28748740cbafd311d934c8b436.JPG","Arthropods","ACCURATE","false","25.0972448","76.0015076","APPROXIMATE","08/09/2022","08/09/2022","species","Zizula hylax (Fabricius 1775)","Tiny Grass Blue:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Lycaenidae","Zizula",,"HUMAN_OBSERVATION","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-08T18:30:00.000Z","September"
"17701816"," Leeladhar suman","Gandi Phali, Rajasthan 325001, India",,"1","false","10/09/2022","/e04ce3b7-c2fa-4d0a-b04c-ade201a4de72/cac3b92b72174e20a6a98cb24864f61f.JPG","Arthropods","ACCURATE","false","25.0785584","75.9956673","APPROXIMATE","08/09/2022","08/09/2022","species","Pelopidas mathias Fabricius 1798","Small Branded Swift:English","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperioidea","Hesperiidae","Pelopidas",,"HUMAN_OBSERVATION","Gandi Phali, Rajasthan 325001, India","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-08T18:30:00.000Z","September"
"17701804"," Leeladhar suman","Gandi Phali, Rajasthan 325001, India",,"1","false","10/09/2022","/294ba193-fd1c-40bf-a9e9-ac9f0af2e622/0ad9b5f9bf3c418c9bb34ac637666582.JPG","Arthropods","ACCURATE","false","25.0785584","75.9956673","APPROXIMATE","08/09/2022","08/09/2022","species","Ixias pyrene (Linnaeus 1764)","Yellow Orange-tip:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Pieridae","Ixias",,"HUMAN_OBSERVATION","Gandi Phali, Rajasthan 325001, India","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-08T18:30:00.000Z","September"
"17701795"," Leeladhar suman","Gandi Phali, Rajasthan 325001, India",,"1","false","10/09/2022","/f6caa26d-baee-4c1c-9f20-85e7a01af5d1/33114dccb3534133b3162e81bc61d5ea.JPG","Arthropods","ACCURATE","false","25.0785584","75.9956673","APPROXIMATE","08/09/2022","08/09/2022","species","Pelopidas mathias Fabricius 1798","Small Branded Swift:English","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperioidea","Hesperiidae","Pelopidas",,"HUMAN_OBSERVATION","Gandi Phali, Rajasthan 325001, India","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-08T18:30:00.000Z","September"
"17701782"," Leeladhar suman","Gandi Phali, Rajasthan 325001, India",,"1","false","10/09/2022","/f3377052-a9e7-4444-964b-440bab072bb5/9354c67c448148e3a14adc27483ba54d.JPG","Arthropods","ACCURATE","false","25.0785584","75.9956673","APPROXIMATE","08/09/2022","08/09/2022","species","Papilio polytes Linnaeus 1758","Common Mormon:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Papilionidae","Papilio",,"HUMAN_OBSERVATION","Gandi Phali, Rajasthan 325001, India","RAJASTHAN","Ladpura","KOTA","Female",,,,,,"2022-09-08T18:30:00.000Z","September"
"17701714","Medha Timmanna Bhat ","Davanagere, Karnataka, India",,"1","false","10/09/2022","/6ed2f5b2-936c-4f02-b8ab-7dd6a739c0b3/9982dd903b2c47beb7db849ded929bf2.JPG","Arthropods","ACCURATE","false","14.4644085","75.921758","APPROXIMATE","09/09/2022","09/09/2022","species","Colotis aurora (Cramer (1780))","Plain Orange tip:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Pieridae","Colotis",,"HUMAN_OBSERVATION","Davanagere, Karnataka, India","KARNATAKA","Davanagere","DAVANAGERE",,,,,,,"2022-09-09T18:30:00.000Z","September"
"17701703","Medha Timmanna Bhat ","Davanagere, Karnataka, India",,"1","false","10/09/2022","/df9fcc47-14dd-4070-b56b-15322c82d0dd/bff8590d7dde4611a565a50546ccfab6.JPG","Arthropods","ACCURATE","false","14.4644085","75.921758","APPROXIMATE","09/09/2022","09/09/2022","species","Vanessa cardui (Linnaeus 1758)","Painted Lady:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Nymphalidae","Vanessa",,"HUMAN_OBSERVATION","Davanagere, Karnataka, India","KARNATAKA","Davanagere","DAVANAGERE",,,,,,,"2022-09-09T18:30:00.000Z","September"
"17701692","Medha Timmanna Bhat ","Davanagere, Karnataka, India",,"1","false","10/09/2022","/f8c80707-f054-41dd-b700-97b3b502e72a/4b9596bff1604f7cadc3b9ddd7d29bf4.JPG","Arthropods","ACCURATE","false","14.4644085","75.921758","APPROXIMATE","09/09/2022","09/09/2022","species","Papilio demoleus Linnaeus 1758","Lime Butterfly:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Papilionidae","Papilio",,"HUMAN_OBSERVATION","Davanagere, Karnataka, India","KARNATAKA","Davanagere","DAVANAGERE",,,,,,,"2022-09-09T18:30:00.000Z","September"
"17701677"," Leeladhar suman","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001, India",,"1","false","10/09/2022","/ae8890a4-5657-45f9-8b2c-eaf4a34236e4/f090590a7b7e4811a656cc0b79a4247d.JPG","Arthropods","ACCURATE","false","25.0972448","76.0015076","APPROXIMATE","08/09/2022","08/09/2022","species","Catopsilia pyranthe (Linnaeus 1758)","Mottled Emigrant:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Pieridae","Catopsilia",,"HUMAN_OBSERVATION","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001, India","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-08T18:30:00.000Z","September"
"17701668"," Leeladhar suman","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001, India",,"1","false","10/09/2022","/83845be0-1d2e-4e7f-9cd2-d74b8908809b/e07862d0f6f0429c9412a910ebe22744.JPG","Arthropods","ACCURATE","false","25.0972448","76.0015076","APPROXIMATE","08/09/2022","08/09/2022","species","Junonia hierta Fabricius 1798","Yellow Pansy:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Nymphalidae","Junonia",,"HUMAN_OBSERVATION","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001, India","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-08T18:30:00.000Z","September"
"17701658","Medha Timmanna Bhat ","Davanagere, Karnataka, India",,"1","false","10/09/2022","/b433deab-9269-4f7a-bd43-d2eec0df75b0/84e07157e47d472fa02530e4f748c40e.JPG","Arthropods","ACCURATE","false","14.4644085","75.921758","APPROXIMATE","09/09/2022","09/09/2022",,"Belenois java","Caper White:English",,,,,,,,,"HUMAN_OBSERVATION","Davanagere, Karnataka, India","KARNATAKA","Davanagere","DAVANAGERE",,,,,,,"2022-09-09T18:30:00.000Z","September"
"17701640","Nishand Venugopal","Sahyadri Colony, Chandranagar Colony, Palakkad, Kerala",,"1","false","10/09/2022","/07ce7ae6-a661-4ac2-b92b-2a13611d5295/0142c96a6db045f78418b7ae697ebcf4.jpg","Arthropods","ACCURATE","false","10.7761656","76.6773655","APPROXIMATE","09/09/2022","09/09/2022","subfamily","Hesperiinae","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperioidea","Hesperiidae",,,"HUMAN_OBSERVATION","Sahyadri Colony, Chandranagar Colony, Palakkad, Kerala","KERALA","Palakkad","PALAKKAD",,,,,,"Adult","2022-09-09T18:30:00.000Z","September"
"17701625"," Leeladhar suman","Gandi Phali, Rajasthan 325001, India",,"1","false","10/09/2022","/e82da059-5428-4d17-956f-8879c42c02a3/3726822859f0453195fd1436960073d7.JPG","Arthropods","ACCURATE","false","25.0785584","75.9956673","APPROXIMATE","08/09/2022","08/09/2022","species","Pelopidas mathias Fabricius 1798","Small Branded Swift:English","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperioidea","Hesperiidae","Pelopidas",,"HUMAN_OBSERVATION","Gandi Phali, Rajasthan 325001, India","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-08T18:30:00.000Z","September"
"17701616"," Leeladhar suman","Gandi Phali, Rajasthan 325001, India",,"1","false","10/09/2022","/c96b41ee-b86d-418e-976c-502f2df78cc1/58808ae0896b4ad4aebcc08cf5dc115b.JPG","Arthropods","ACCURATE","false","25.0785584","75.9956673","APPROXIMATE","08/09/2022","08/09/2022","species","Tarucus extricatus (Butler 1886)","Rounded Pierrot:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Lycaenidae","Tarucus",,"HUMAN_OBSERVATION","Gandi Phali, Rajasthan 325001, India","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-08T18:30:00.000Z","September"
"17701600"," Leeladhar suman","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001, India",,"1","false","10/09/2022","/a2d4fe09-49d0-41c6-a096-38386a68090f/da0a8412b77f4804a3c005ccb7324fc8.JPG","Arthropods","ACCURATE","false","25.0972448","76.0015076","APPROXIMATE","08/09/2022","08/09/2022","species","Hypolimnas misippus Linnaeus 1764","Danaid eggfly:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Nymphalidae","Hypolimnas",,"HUMAN_OBSERVATION","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001, India","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-08T18:30:00.000Z","September"
"17701591"," Leeladhar suman","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001, India",,"1","false","10/09/2022","/f92906de-04a9-44be-9790-c66cbaaa8605/39967620af4046ad982c4fab93e3a3b8.JPG","Arthropods","ACCURATE","false","25.0972448","76.0015076","APPROXIMATE","08/09/2022","08/09/2022","species","Junonia orithya Linnaeus 1764","Blue Pansy:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Nymphalidae","Junonia",,"HUMAN_OBSERVATION","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001, India","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-08T18:30:00.000Z","September"
"17701580"," Leeladhar suman","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001, India",,"1","false","10/09/2022","/d228f32d-e0e0-44bd-969a-180268d48149/f0f1731383e44096aabbf69dcba21fd3.JPG","Arthropods","ACCURATE","false","25.0972448","76.0015076","APPROXIMATE","08/09/2022","08/09/2022","species","Junonia lemonias Linnaeus 1758","Lemon pansy:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Nymphalidae","Junonia",,"HUMAN_OBSERVATION","Kota Sangod Road, Jakhora, Kethun, Rajasthan 325001, India","RAJASTHAN","Ladpura","KOTA",,,,,,,"2022-09-08T18:30:00.000Z","September"
